"timestamp","actual_azimuth","actual_elevation","commanded_azimuth","commanded_elevation"
"2024-03-26T01:59:45.000000+00:00","140.008","90.031","140.008","90.031"
"2024-03-26T01:59:46.000000+00:00","140.008","90.031","140.008","90.031"
"2024-03-26T01:59:47.000000+00:00","140.008","90.031","140.008","90.031"
"2024-03-26T01:59:48.000000+00:00","140.008","90.031","140.008","90.031"
"2024-03-26T01:59:49.000000+00:00","140.008","89.948","140.008","85.0"
"2024-03-26T01:59:50.000000+00:00","140.008","89.793","140.008","85.0"
"2024-03-26T01:59:51.000000+00:00","140.008","89.639","140.008","85.0"
"2024-03-26T01:59:52.000000+00:00","140.008","89.476","140.008","85.0"
"2024-03-26T01:59:54.000000+00:00","140.008","89.332","140.008","85.0"
"2024-03-26T01:59:55.000000+00:00","140.004","89.188","140.008","85.0"
"2024-03-26T01:59:56.000000+00:00","140.003","89.034","140.008","85.0"
"2024-03-26T01:59:57.000000+00:00","140.003","88.88","140.008","85.0"
"2024-03-26T01:59:58.000000+00:00","140.003","88.727","140.008","85.0"
"2024-03-26T01:59:59.000000+00:00","140.003","88.571","140.008","85.0"
"2024-03-26T02:00:00.000000+00:00","140.004","88.425","140.008","85.0"
"2024-03-26T02:00:01.000000+00:00","140.015","88.272","140.008","85.0"
"2024-03-26T02:00:02.000000+00:00","140.015","88.118","140.008","85.0"
"2024-03-26T02:00:03.000000+00:00","140.015","87.963","140.008","85.0"
"2024-03-26T02:00:04.000000+00:00","140.015","87.809","140.008","85.0"
"2024-03-26T02:00:05.000000+00:00","140.0","87.663","140.008","85.0"
"2024-03-26T02:00:06.000000+00:00","140.0","87.511","140.008","85.0"
"2024-03-26T02:00:07.000000+00:00","140.0","87.357","140.008","85.0"
"2024-03-26T02:00:08.000000+00:00","140.0","87.204","140.008","85.0"
"2024-03-26T02:00:09.000000+00:00","140.016","87.049","140.008","85.0"
"2024-03-26T02:00:10.000000+00:00","140.016","86.896","140.008","85.0"
"2024-03-26T02:00:11.000000+00:00","140.016","86.896","140.008","85.0"
"2024-03-26T02:00:12.000000+00:00","140.016","86.742","140.008","85.0"
"2024-03-26T02:00:13.000000+00:00","140.001","86.587","140.008","85.0"
"2024-03-26T02:00:14.000000+00:00","139.999","86.434","140.008","85.0"
"2024-03-26T02:00:15.000000+00:00","139.999","86.282","140.008","85.0"
"2024-03-26T02:00:16.000000+00:00","139.999","86.128","140.008","85.0"
"2024-03-26T02:00:17.000000+00:00","140.016","85.973","140.008","85.0"
"2024-03-26T02:00:18.000000+00:00","140.016","85.819","140.008","85.0"
"2024-03-26T02:00:19.000000+00:00","140.016","85.665","140.008","85.0"
"2024-03-26T02:00:20.000000+00:00","140.012","85.511","140.008","85.0"
"2024-03-26T02:00:21.000000+00:00","139.999","85.365","140.008","85.0"
"2024-03-26T02:00:22.000000+00:00","139.999","85.201","140.008","85.0"
"2024-03-26T02:00:23.000000+00:00","139.708","84.97","116.364","20.522"
"2024-03-26T02:00:24.000000+00:00","138.212","84.201","116.364","20.522"
"2024-03-26T02:00:25.000000+00:00","135.609","82.867","116.364","20.522"
