"power","timestamp_float","timestamp_dt","elevation","azimuth"
"-51.39","1707262630.778312","2024-02-06T18:37:10.778312+00:00","",""
"-51.39","1707262630.921388","2024-02-06T18:37:10.921388+00:00","",""
"-51.39","1707262631.065929","2024-02-06T18:37:11.065929+00:00","",""
"-51.4","1707262631.21107","2024-02-06T18:37:11.211070+00:00","",""
"-51.4","1707262631.357263","2024-02-06T18:37:11.357263+00:00","",""
"-51.39","1707262631.496148","2024-02-06T18:37:11.496148+00:00","",""
"-51.39","1707262631.646541","2024-02-06T18:37:11.646541+00:00","",""
"-51.39","1707262631.789184","2024-02-06T18:37:11.789184+00:00","",""
"-51.39","1707262631.926525","2024-02-06T18:37:11.926525+00:00","",""
"-51.39","1707262632.07741","2024-02-06T18:37:12.077410+00:00","",""
"-51.39","1707262632.223261","2024-02-06T18:37:12.223261+00:00","",""
"-51.39","1707262632.368932","2024-02-06T18:37:12.368932+00:00","",""
"-51.39","1707262632.513633","2024-02-06T18:37:12.513633+00:00","",""
"-51.39","1707262632.659663","2024-02-06T18:37:12.659663+00:00","",""
"-51.39","1707262632.796878","2024-02-06T18:37:12.796878+00:00","",""
"-51.39","1707262632.947839","2024-02-06T18:37:12.947839+00:00","",""
"-51.39","1707262633.093442","2024-02-06T18:37:13.093442+00:00","",""
"-51.39","1707262633.23665","2024-02-06T18:37:13.236650+00:00","",""
"-51.39","1707262633.37902","2024-02-06T18:37:13.379020+00:00","",""
"-51.39","1707262633.52178","2024-02-06T18:37:13.521780+00:00","",""
"-51.39","1707262633.672345","2024-02-06T18:37:13.672345+00:00","",""
"-51.39","1707262633.81165","2024-02-06T18:37:13.811650+00:00","",""
"-51.39","1707262633.962676","2024-02-06T18:37:13.962676+00:00","",""
"-51.39","1707262634.105692","2024-02-06T18:37:14.105692+00:00","",""
"-51.39","1707262634.245434","2024-02-06T18:37:14.245434+00:00","",""
"-51.39","1707262634.395974","2024-02-06T18:37:14.395974+00:00","",""
"-51.39","1707262634.533909","2024-02-06T18:37:14.533909+00:00","",""
"-51.4","1707262634.684899","2024-02-06T18:37:14.684899+00:00","",""
"-51.4","1707262634.831465","2024-02-06T18:37:14.831465+00:00","",""
"-51.4","1707262634.967412","2024-02-06T18:37:14.967412+00:00","",""
"-51.4","1707262635.120377","2024-02-06T18:37:15.120377+00:00","",""
"-51.4","1707262635.26033","2024-02-06T18:37:15.260330+00:00","",""
"-51.4","1707262635.410185","2024-02-06T18:37:15.410185+00:00","",""
"-51.4","1707262635.546063","2024-02-06T18:37:15.546063+00:00","",""
